DataSource,Latitude,Longitude,Lake,Region,Year,Month,Day,DOC_mgL,Av_pelagic_d13C,Av_pelagic_d15N,Av_benthic_d13C,Av_benthic_d15N,d13C_baselineDifference
Johnston,51.58,-91.52,Lang,North Ontario,2012,NA,NA,11.1,-31.6,3.31,-19.02,1.02,-12.58
Johnston,49.69,-86.88,Kenogamisis,North Ontario,2018,6,20,11.2,-33.06,4.376666667,-27.095,2.888333333,-5.965
Johnston,51.71,-89.49,Monmonawson,North Ontario,2015,8,22,12,-23.322,2.25,-15.735,1.51125,-7.587
Johnston,51.33,-90.96,Wright,North Ontario,2012,NA,NA,12.3,-30.247,3.699,-20.682,2.748,-9.565
Johnston,52.45,-89.41,Wigwascence,North Ontario,2012,NA,NA,12.9,-33.13333333,5.396666667,-28.33,2.985,-4.80333333
Johnston,51.83,-88.96,Trading,North Ontario,2015,9,17,13.2,-33.41,4.76,-28.076,3.416,-5.334
Johnston,49.41,-80.54,Little Abitibi,North Ontario,2017,7,4,13.6,-33.31444444,3.957777778,-30.925,2.269,-2.38944444
Johnston,51.17,-85.38,Quantz,North Ontario,2011,NA,NA,15.4,-31.35,3.73,-22.51090909,2.807272727,-8.83909091
Johnston,51.73,-89.78,Badesdawa,North Ontario,2009,7,3,16.2,-33.155,5.237,-27.204,3.455,-5.951
Moslemi,62.086883,119.8689,Big Island,Northwest Territories,2017,8,17,9.763557,-27.14,2.97,-21.71,1.64,-5.43
Moslemi,61.289633,120.582869,Ekali,Northwest Territories,2017,8,23,16.583675,-34.74346,3.72659,-31.855,2.945,-2.88846
Moslemi,63.182378,122.543831,Fish,Northwest Territories,2019,8,27,13.14,-32.74411458,3.566395639,-22.401,1.505,-10.34311458
Moslemi,61.249,120.382092,Gargan,Northwest Territories,2014,8,29,21.3,-33.51,3.61,-28.11,3.253,-5.4
Moslemi,60.923308,117.665583,Kakisa,Northwest Territories,2015,9,3,12.929815,-29.3,3.91,-23.223,2.689,-6.077
Moslemi,61.30345,121.013878,McGill,Northwest Territories,2018,8,28,17.46488,-34.64,2.57,-32.516,2.258,-2.124
Moslemi,62.002303,120.093861,Mustard,Northwest Territories,2015,8,17,11.50191,-27.11,2.92,-20.761,1.643,-6.349
Moslemi,61.254031,120.492239,Sanguez,Northwest Territories,2017,9,18,17.312568,-32.80333,3.57667,-30.87,2.314,-1.93333
Moslemi,60.538836,117.508067,Tathlina,Northwest Territories,2014,8,21,19.66,-35.31,3.86,-31.51,3.255,-3.8
Moslemi,62.169394,119.184778,Willow,Northwest Territories,2016,8,28,9.9674,-26.07,3.25,-20.558,1.363,-5.512
SolomonJones,46.236245,-89.495892,East Long,Michigan,2011,9,22,7.984642857,-33.2,4.83,-31.32,4.36,-1.88
SolomonJones,46.235908,-89.501564,West Long,Michigan,2011,9,23,7.912580645,-33.43,4.91,-32.09,3.87,-1.34
Tanentzap,46.44700143,-80.89311966,A2,North Ontario,2012,7,5,8.9,-25.87,1.8,-23.69,0.15,-2.18
Tanentzap,46.45029861,-80.88561032,A3,North Ontario,2012,7,5,2.4,-29.2,1.46,-24.86,1.74,-4.34
Tanentzap,46.45455195,-80.87729539,A6,North Ontario,2012,7,5,3.4,-27.61,2.83,-26.66,1.63,-0.95
Tanentzap,46.4482916,-80.8950849,D,North Ontario,2012,7,5,2.5,-27.15,1.05,-24.03,1.03,-3.12
Tanentzap,46.45258392,-80.88491185,H,North Ontario,2012,7,5,2.4,-27.57,1.2,-23.39,0.24,-4.18
Tanentzap,46.45459373,-80.88179422,I,North Ontario,2012,7,5,2.7,-27.78,1.08,-25.94,0.2,-1.84
Tanentzap,46.45650114,-80.8785829,J,North Ontario,2012,7,5,3.2,-27.94,1.04,-25.18,0.83,-2.76
Tanentzap,46.45864954,-80.87390033,K,North Ontario,2012,7,5,2.8,-27.33,1.39,-23.55,-0.41,-3.78
